Asset Planner ID,,,Screener and Approver,,,,,,,,,Asset Planner Data,,,,,,,,,,,,,,,Data Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seismic Data,,,,,,,,,Outputs from FEMA and SQST Sheets,,2013 Seismic Screening Data,,,,,,,
ID,Facility/Asset,Address,Review Phase,Approver,Screener,Drawings,Desktop Review Date,Site Visit,Site Review Date,Ready for Approval?,Approved?,Building Name,Development Category Indicator,Custom: CoV Ownership Status,SAP Building Number,Date Built,Year Built,NBC Code Year (Original Building),Current Replacement Value (June 2026),Gross Size (sq.ft.) - from Asset Planner - June 2026,CRV/sq.ft.,Floors Above Grade,Floors Below Grade,Building: General Summary,Building: Architectural Summary,Building: Heritage,Year(s) of Major Renovation(s),Description of Major Renovation,Building: Main Superstructure Material,Vertical Load Bearing System,Roof System,Floor System,Seismic Force Resisting System in the North-South Direction,Seismic Force Resisting System in the East-West Direction,Number of LDRS Bays in North-South Direction,Number of LDRS Bays in East-West Direction,Seismic Upgrade Year,Description of Seismic Upgrade,Seismic Upgrading Case,Building Height (Total Height Above Ground (m) to Roof Slab),"""Original"" Building Importance Factor Ie",Building Importance Factor Ie - Based on VBBL 2025 - Upgraded,Occupancy Type,Service Group,Replacement Cost (June 2026 $$),At-risk Population: Y/N?,Site Class,Basement,Basement Floor Plan Area (sq.m.),Ground Floor Plan Area (sq.m.),Roof Plan Area (sq.m.),Geological Hazards,Significant Alterations or Deviations,Material Conditions,Sesimic Isolation / Energy Dissipation Systems,Separation / Distance from Adjacent Structures (mm),Pounding Type Input,Pounding Type,Vertical Irregularity Input,Vertical Irregularity Description,Plan Irregularity Input,Plan Irregularity Description,Building Irregularity,Falling Hazards (Y/N),Exterior Non-structural Components - Restrained (Y/N),Interior Non-structural Components - Restrained (Y/N),URM (Y/N),FEMA P154 Special Cases,Remaining Occupancy Time,Category Functionality Class,Gross Area (including basement) (sq.m.),Seismic Weight (kN),Snow Load and Roof Weight (kN),Floor Weight - Above Grade (kN),LDRS Weight North-South Direction (kN),LDRS Weight East-West Direction (kN),Content Weight Based on Occupancy Type (kN),FEMA P154 RVS Level 2 Screening S-Score,SEG Level 2 - SQST S-Score,Building: Collapse Likelihood,Building: Post Disaster Importance,Building: Occupancy,Building: Seismic Screening Data,Building: Seismic S Score,Building: Seismic Risk,Longitude,Latitude
173,CULT_6854_1200 Chestnut St_Southam Observatory,1200 Chestnut St,,,,,,,,,,Southam Observatory,2 - Moderate Investment,City Owned,6854,1980-01,1980,1980,"$809,401","2,315",350,1,0,The building was constructed circa 1980. The building was provided mainly with systems and components originating from the initial building construction.,"The single-storey building foundation are likely standard foundations and the first floor slab appears to be cast in place concrete continuously supported by a moisture barrier on a free draining gravel. A visual site confirmation to determine if the element is a potential structural slab was not possible.

The single-storey building is likely be pre-cast reinforced concrete walls and suspended roof slabs and roof sheathing systems..

The exterior walls consist of unfinished pre-cast concrete walls . The exterior doors include single metal and single glazed doors . The roof covering includes conventional modified bitumen roofing.

The interior partitions are painted gypsum wallboard.

The interior floor finishes include carpet and vinyl tiles floor. The interior ceiling finishes include painted gypsum board. The interior doors are generally single and double metal and wood doors set in wood and metal frames.",,1980,,Concrete Structure,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1435754,49.27543595
174,SOCL_1494_2910 St. George St_Mount Pleasant Family Centre,2910 St. George St,,,,,,,,,,Mount Pleasant Family Centre,3 - Limited Investment,City Owned,1494,1939-01,1939,Pre-code,"$575,351","2,000",288,2,0,"The Mount Pleasant Family Centre was constructed circa 1939. The building systems and components were updated throughout the years since the initial building construction. The upper floor was recently renovated with new laminate flooring, millwork, and painting.","The two-storey building structure is constructed of poured concrete foundation walls on strip footings bearing on good native firm soil with concrete slab-on-grade. The two-storey building structural framing system is likely a wood framed structure, where wood framed stud walls support the suspended wood floors and wood roof trusses/rafters. No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The exterior walls are finished with wood siding, The exterior windows are original wood framed with single glass units on the main floor and aluminum framed with insulated glass unit on the upper floor. The exterior doors are single and double swing-type metal doors set in metal frames. The building pitched roof is an asphalt shingles roofing. Overall, the building envelope components appear to be in good condition, except for the building's asphalt shingle roofing which is in poor condition.

The interior walls are painted gypsum wallboard and the interior floor finishes include wood laminate flooring, carpet flooring, and vinyl sheet flooring. The interior ceiling finish is a painted gypsum board and the interior doors are generally swing-type single wood doors set in metal frames. The interior finishes appear to be in good condition overall.",,2003,,Wood Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,Emergency Shelter,Unknown,,10,Pre-Screen Low,-123.092861,49.25865505
175,SOCL_3277_2026 E 43rd Av_Victoria Community Hall,2026 E 43rd Av,,,,,,,,,,Victoria Community Hall,3 - Limited Investment,City Owned,3277,1925-01,1925,Pre-code,"$2,405,542","8,362",288,2,0,2026 E 43rd Ave building is understood to have been constructed circa 1925. The building had been completely renovated in 1966.,"The two-storey building appears to be constructed on concrete spread-footings. Where exposed, the superstructure appears to be of wood-framed and steel columns construction. No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.
The building exterior walls are generally comprised of painted stucco walls on all building elevations. The building windows are typical of wood-framed single glass. The exterior entrance doors are typically solid wood doors set in wood frames with in-fill single glass windows. The service doors are hollow metal doors in metal frames and solid wood doors in wood frames. The roof cover is an asphalt shingle roofing. Overall, the building envelope components appear to be in poor condition.
The interior finishes in the building include vinyl floor tiles, ceramic floor tiles, hardwood flooring, vinyl sheet flooring, painted wall assemblies, painted ceiling assemblies, plaster ceiling assemblies and suspended ceiling tiles assemblies. The interior finishes appear to be in poor condition overall, with the exception of the hardwood floor and the vinyl flooring which appear to be in good condition.",,1966,,"Concrete foundation, wood frame & asphalt shingle roof",,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,,,-123.0647494,49.23105183
178,CWYD_1872_377 W Kent Av North_Manitoba Yards - Transfer Station,377 W Kent Av North,Phase 1,,,,,,,,,Manitoba Yards - Transfer Station,2 - Moderate Investment,City Owned,1872,1989-01,1989,1985,"$15,094,921","68,210",221,3,0,"Vancouver South Transfer Station is understood to have been constructed circa 1989. The building is largely provided with systems and components originating from the initial building construction. Known renewals include:
- The office roof was replaced circa 2015","The single-storey building with a basement appears to be constructed on spread footings. Where exposed, the superstructure appears to be of concrete and metal deck roof construction.  No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure. However, minor concrete spalling and exposed rebar was observed.

The building exterior walls are generally comprised of concrete on all building elevations. The building windows are typically of metal framed insulated glass units (IGUs). The exterior entrance doors are typically glass doors set in aluminum frames. The service doors are hollow metal doors in metal frames. The roofs cover are a 2-ply modified bituminous roof assembly. Overall, the building envelope components appear to be in good condition. With the exception of the main roof and exterior metal doors which are in poor condition.

The interior finishes in the building include ceramic floor tiles, vinyl sheet floorin, exposed concrete floor, painted wall assemblies, ceramic wall tiles, wood wall panels, painted ceiling assemblies and suspended acoustic tile ceiling assemblies. The interior finishes appear to be in fair to poor condition overall.",,,,Reinforced concrete foundation & frame w/steel deck roof,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,Business Continuity,,,,Pre-Screen Low,-123.1142441,49.20710608
179,CWYD_6461_955 Evans Av_Evans Yard - Office & Shops,955 Evans Av,Phase 1,,,,,,,,,Evans Yard - Office & Shops,1 - Full Investment,City Owned,6461,1994-01,1994,1990,"$10,770,926","48,671",221,1,0,The building was constructed circa 1994. The building is provided mainly with systems and components originating from the initial building construction.,"The single-storey building foundations are likely standard foundations bearing on good native soil. The slab on grade appears to be cast in place concrete continuously supported by native soil or engineered fill. The building framing system consists of pre-cast wall panels supporting steel open web steel joists OWSJ with corrugated steel roof deck systems, and concrete topped corrugated decking at mezzanine level floors. 

The roof covering includes inverted- single ply membrane EPDM roofing. The building exterior walls are generally comprised of painted tilt-up concrete panels with sealants along joints and penetrations. The windows are double-paned glazing and window walls. The exterior entrance doors are typically hollow metal doors in metal frames and prefinished aluminum glass doors along the southern elevation.  A metal canopy roof structure is provided along the majority of the northern building elevation. 

The interior partitions include a combination of concrete masonry units and gypsum wall board. The interior doors are generally single and double-metal doors set in matching metal frames. The interior finishes in the building include ceramic floor tiles, quarry floor tile, vinyl floor tile, rubberized floor tile, resilient sheet flooring, painted and sealed concrete floors, painted wall assemblies, ceramic wall tiles. The interior ceiling finishes include painted gypsum board ceiling. and suspended acoustic tile ceiling assemblies.",,1994,,"Concrete foundation, steel frame  w/ tar & gravel roof",,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,0.003%,Business Continuity,11-100,,4.5999999999999996,Low,-123.0840688,49.27164767
180,"CWYD_4325_Stanley Park Service Yard_Storage, Workshop Building",Stanley Park Service Yard,Phase 1,,,,,,,,,"Storage, Workshop Building",5 - No Investment,City Owned,4325,1940-01,1940,Pre-code,"$680,500","3,075",221,1,0,"Workshop Building is understood to have been constructed circa 1940. The building is largely provided with systems and components originating from the initial building construction. Known renewals include:
- The roof was replaced circa 1999","The single-story building appears to be constructed on spread footings. Where exposed, the superstructure appears to be of wood-framed construction.  No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of wood siding on the building elevations. The building windows are typical of wood-framed single glass units. The exterior entrance doors are typically wood doors set in wood frames. The roof cover is a 2-ply modified bituminous roof assembly. Overall, the building envelope components appear to be in poor condition.

The interior finishes in the building include exposed concrete floors, painted wall assemblies, and painted ceiling assemblies. The interior finishes appear to be in poor condition overall.",,,,Wood Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,15%,,0-10,,0.2,High,-123.1374077,49.29989475
181,CWYD_6872_900 E Kent Av North_Asphalt Plant - Shop & Storage Container Building,900 E Kent Av North,Phase 1,,,,,,,,,Asphalt Plant - Shop & Storage Container Building,2 - Moderate Investment,City Owned,6872,1999-01,1999,1995,"$207,137",936,221,1,0,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.0869004,49.20778958
182,CWYD_6461_955 Evans Av_Evans Yard - Storage 1 (Large),955 Evans Av,Phase 1,,,,,,,,,Evans Yard - Storage 1 (Large),2 - Moderate Investment,City Owned,6461,1994-01,1994,1990,"$1,449,877","8,077",180,1,0,The building was constructed circa 1994. The building is provided mainly with systems and components originating from the initial building construction.,"The single-storey building foundations are likely standard foundations bearing on good native soil. The slab on grade appears to be cast in place concrete continuously supported by native soil or engineered fill. The building framing system consists of load bearing concrete masonry block units (CMU) and steel columns supporting steel beams, steel open web steel joists OWSJ with corrugated steel roof deck systems, 

The roof covering includes metal roofing. The building exterior walls are generally comprised of metal cladding ad exterior coating system. The exterior entrance doors are typically hollow metal doors in metal frames and sliding hangar doors along the southern elevation. 

The interior partitions include a combination of concrete masonry units and wood panel sheathing. The interior finishes in the building include sealed concrete floors.",,N/A,,Metal Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,Business Continuity,Unknown,,10,Pre-Screen Low,-123.0837809,49.27196124
184,CWYD_4325_Stanley Park Service Yard_Storage & Welding Shop,Stanley Park Service Yard,Phase 1,,,,,,,,,Storage & Welding Shop,5 - No Investment,City Owned,4325,1940-01,1940,Pre-code,"$436,405","1,972",221,1,0,The Storage & Welding Shop is understood to have been constructed circa 1940. The building is largely provided with systems and components originating from the initial building construction.,"The single-story building appears to be constructed on spread footings. Where exposed, the superstructure appears to be of wood and concrete construction. A study is recommended for the building structure.

The building exterior walls are generally compromised of concrete masonry and stucco on all building elevations. The building windows are typical of wood-framed single glass units. The exterior entrance doors are typically wood doors set in wood frames. The roof cover is a sloped asphalt shingles roof assembly. Overall, the building envelope components appear to be in poor condition.

The interior finishes in the building include exposed concrete floors, painted wall assemblies, and painted ceiling assemblies. The interior finishes appear to be in poor condition overall.",,,,Concrete Structure,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,15%,,0-10,,0.2,High,-123.1370282,49.29985939
185,PARK_2147_7188 MacDonald St_McCleery Golf Course - Maintenance Building,7188 MacDonald St,,,,,,,,,,McCleery Golf Course - Maintenance Building,2 - Moderate Investment,City Owned,2147,1996-01,1996,1995,"$1,283,544","5,800",221,1,0,The Maintenance Building at McCleery Golf Course is understood to have been constructed circa 1996. The building is largely provided with systems and components originating from the initial building construction.,"The one-storey building appears to be constructed on spread footings. Where exposed, the superstructure appears to be of metal-framed construction.  No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.
The building exterior walls are generally comprised of sheet metal wall panels. The building exterior windows are typical of metal-framed insulated glass units (IGUs). The exterior entrance doors are typically overhead doors and hollow core metal doors. The roof cover is a sheet metal roof panels. Overall, the building envelope components appear to be in good condition.
The interior finishes in the building offices and washrooms include vinyl floor tiles, exposed concrete floor, painted wall assemblies, ceramic wall tiles and painted ceiling assemblies. The interior finishes appear to be in good condition overall.",,,,Metal Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1708578,49.22074233
186,PARK_6672_6706 Alberta St_Langara Golf Course - Maintenance Shop,6706 Alberta St,,,,,,,,,,Langara Golf Course - Maintenance Shop,2 - Moderate Investment,City Owned,6672,1995-01,1995,1995,"$1,290,262","5,382",240,1,0,The Golf Course - Maintenance Shop was constructed circa 1995. The building is provided mainly with systems and components originating from the initial building construction.,"The single-storey building constructed on concrete spread footings. The superstructure is a pre-engineered steel-frame structure consists of steel columns, steel purlins with insulated roof sheathing systems. the building comprises of concrete masonry block (CMU) walls and stud framing with drywall finishes. No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of exterior metal panel system with prefinished metal on all elevations . The building windows are typical of fixed and operable insulated double glass units. The exit doors are solid wood and metal single-frame doors which are mounted to wood and metal frames. The roof cover is a corrugated metal roofing assembly. The building components appear to be in good condition overall with the exception of sealed concrete floor and painted walls which are in a good condition.

The interior finishes in the building include painted concrete floors, vinyl sheets flooring, carpet flooring, painted wall finish, painted ceiling finish and wood ceiling finish. The building interior finishes appear to be in fair condition overall with the exception of the wood ceiling which is in a good condition.",,1990,,Metal Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1120426,49.21809409
187,CWYD_4325_Stanley Park Service Yard_Office,Stanley Park Service Yard,Phase 1,,,,,,,,,Office,3 - Limited Investment,City Owned,4325,1999-01,1999,1995,"$1,033,917","4,672",221,1,0,"The office building is understood to have been constructed circa 1999. The building is largely provided with systems and components originating from the initial building construction. Known renewals include:
- The majority of interior finishes updated circa 2004","The single-story building appears to be constructed on spread footings. Where exposed, the superstructure appears to be of wood-framed, construction.  No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of wood siding on all building elevations. The building windows are typical of metal-framed insulated glass units (IGUs). The exterior entrance doors are a combination of metal and wood doors. The roof cover is a sloped asphalt shingles roof assembly.  Overall, the building envelope components appear to be in good condition.

The interior finishes in the building include vinyl sheet flooring, painted wall assemblies, ceramic wall tiles, and painted ceiling assemblies. The interior finishes appear to be in good condition overall.",,1994,,Wood Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1366178,49.29983284
189,CWYD_1347_290 E 51st Av_Sunset Nursery - West Potting Shed,290 E 51st Av,Phase 1,,,,,,,,,Sunset Nursery - West Potting Shed,3 - Limited Investment,City Owned,1347,1960-01,1960,1960,"$885,203","4,000",221,1,0,"The West Potting Shed is understood to have been constructed circa 1960, with an addition along the west elevation for which the construction date is unknown. No major renovations were noted or reported at the time of the site assessment.","The single-storey building appears to be constructed on spread footing with a slab-on-grade. Where exposed, the superstructure appears to be of wood framed construction.  No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of wood siding, wood access doors, metal overhead doors, wood overhead doors, and single pane windows. The roof cover is a 2-ply modified bituminous roof assembly. Overall, the building envelope components appear to be in good to fair condition, with the exception of the wood siding which is considered in poor condition.

The facility is largely unfinished; however, the interior doors and the walk-in cooler are considered in poor condition.",,0,,Wood Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1004441,49.22323949
190,CWYD_1150_1457 Discovery St_Jericho Park Service Yard - Garage Bays - West,1457 Discovery St,Phase 1,,,,,,,,,Jericho Park Service Yard - Garage Bays - West,2 - Moderate Investment,City Owned,1150,1940-01,1940,Pre-code,"$566,458","3,840",148,1,0,The Jericho Park Service Yard - Garage Bays - West is understood to have been constructed circa 1940. The building is largely provided with systems and components originating from the initial building construction.,"The single-story structure is constructed on concrete spread-footings that bear on native soil or engineered fill. Where exposed the foundation walls are poured concrete walls. The slab on grade is presumed to comprise reinforced poured in place concrete. The superstructure includes cast-in-place concrete masonry block walls and concrete construction supporting a concrete roof deck. No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.
The building exterior walls are generally comprised of painted concrete walls on the building elevations. The building is provided with four overhead rolling doors. The exterior walls and overhead rolling doors are in good condition.
The interior finishes in the building include painted floor finishes, painted wall assemblies, and painted ceiling finish. The interior finishes appear to be in poor to good condition overall.",,,,Masonry Walls,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.2037148,49.27443387
191,CWYD_1150_1457 Discovery St_Jericho Park Service Yard - Garage Bays - South,1457 Discovery St,Phase 1,,,,,,,,,Jericho Park Service Yard - Garage Bays - South,2 - Moderate Investment,City Owned,1150,1940-01,1940,Pre-code,"$566,458","3,840",148,1,0,The Jericho Park Service Yard - Garage Bays - South is understood to have been constructed circa 1940. The building is largely provided with systems and components originating from the initial building construction.,"The single-story structure is constructed on concrete spread-footings that bear on native soil or engineered fill. Where exposed the foundation walls are poured concrete walls. The slab on grade is presumed to comprise reinforced poured in place concrete. The superstructure includes cast-in-place concrete masonry block walls and concrete construction supporting a concrete roof deck. No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.
The building exterior walls are generally comprised of painted concrete walls on the building elevations. The building is provided with four overhead rolling doors. The exterior walls and overhead rolling doors are in good condition.
The interior finishes in the building include painted floor finishes, painted wall assemblies, and painted ceiling finish. The interior finishes appear to be in poor to good condition overall.",,,,Masonry Walls,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.2033759,49.27420812
192,CWYD_1150_1457 Discovery St_Jericho Park Service Yard - Main Building,1457 Discovery St,Phase 1,,,,,,,,,Jericho Park Service Yard - Main Building,2 - Moderate Investment,City Owned,1150,1940-01,1940,Pre-code,"$686,845","2,865",240,1,0,The Jericho Park Service Yard - Main Building is understood to have been constructed circa 1940.,"The single-story structure is constructed on concrete spread-footings that bear on native soil or engineered fill. Where exposed the foundation walls are poured concrete walls. The slab on grade is presumed to comprise reinforced poured in place concrete. The superstructure includes cast-in-place concrete masonry block walls and concrete construction supporting a concrete roof deck. No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.
The building exterior walls are generally comprised of painted concrete walls, wood sidings, and stucco on the building elevations. The building is provided with exterior single-door assemblies which include painted steel panels that are set within painted steel frames. The exterior walls and exterior doors appear to be in poor to good condition.
The interior finishes in the building include painted floor finishes, ceramic floor finishes, painted wall assemblies, ceramic tile walls, suspended acoustic ceiling panels, and painted ceiling finish. The interior finishes appear to be in fair to good condition overall.",,,,Masonry Walls,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.2029309,49.2744516
195,CWYD_4325_Stanley Park Service Yard_Horse Barn old Police Stables,Stanley Park Service Yard,Phase 1,,,,,,,,,Horse Barn old Police Stables,5 - No Investment,City Owned,4325,1940-01,1940,Pre-code,"$742,685","3,356",221,1,0,"The Horse Barn old police stables building is understood to have been constructed circa 1940. The building is largely provided with systems and components originating from the initial building construction. Known renewals include:
- The majority of interior finishes updated circa 1984
- Roofs were replaced circa 2009 and 2018","The single-story building appears to be constructed on spread footings. Where exposed, the superstructure appears to be of wood-framed, and concrete block masonry walls construction.  No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure. However, the structural study is recommended for localized cracks.

The building exterior walls are generally comprised of stucco on the original building elevations, and exposed reinforced concrete on the addition. The building windows are typical of wood-framed single glass units. The exterior entrance doors are typically wood doors set in wood frames. The roof cover is a 2-ply modified bituminous roof assembly.  Overall, the building envelope components appear to be in poor to fair condition.

The interior finishes in the building include vinyl floor tiles, painted wall assemblies, and painted ceiling assemblies. The interior finishes appear to be in poor condition overall.",,,,Wood Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,Responder,Unknown,,10,Pre-Screen Low,-123.1368702,49.30017645
196,CWYD_1347_290 E 51st Av_Sunset Nursery - East Potting Shed & Lunchroom,290 E 51st Av,Phase 1,,,,,,,,,Sunset Nursery - East Potting Shed & Lunchroom,3 - Limited Investment,City Owned,1347,1950-01,1950,1941,"$774,552","3,500",221,1,0,"The Sunset Nursery - East Potting Shed & Lunchroom is understood to have been constructed circa 1950 with 2 known additions, the work area along the southern portion of the building and the washroom along the eastern portion of the building.","The single-storey building, with partial basement, appears to be constructed on spread footings. Where exposed, the superstructure appears to be of wood framed construction.  No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure; however evidence of cracking and water ingress has resulted in a recommendation for further investigation of the foundations. 

The building exterior walls are clad with wood siding, with single pane windows in wood frames, wood access doors, and a metal overhead door. The roof is covered with asphalt shingles. Overall, the building envelope components appear to be in good to fair condition, with the exception of the wood cladding and asphalt shingles, which are considered to be in poor condition.

The interior finishes in the building include resilient sheet floor, vinyl tile flooring, resilient floor boards, exposed asphalt pavement exposed, concrete/wood decking floor, painted wall assemblies, ceramic wall tiles, prefinished wall panels, unfinished wall assemblies, and painted ceiling assemblies. The interior finishes appear to be in good to fair condition overall, with the exception of the painted floor finishes which was considered to be in poor condition.",,,,Wood Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.0994737,49.22334782
199,CWYD_1150_1457 Discovery St_Jericho Park Service Yard - Garage Bays - North,1457 Discovery St,Phase 1,,,,,,,,,Jericho Park Service Yard - Garage Bays - North,2 - Moderate Investment,City Owned,1150,1940-01,1940,Pre-code,"$566,458","3,840",148,1,0,The Jericho Park Service Yard - Garage Bays – North is understood to have been constructed circa 1940. The building is largely provided with systems and components originating from the initial building construction.,"The single-story structure is constructed on concrete spread-footings that bear on native soil or engineered fill. Where exposed the foundation walls are poured concrete walls. The slab on grade is presumed to comprise reinforced poured in place concrete. The superstructure includes cast-in-place concrete masonry block walls and concrete construction supporting a concrete roof deck. No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.
The building exterior walls are generally comprised of painted concrete walls on the building elevations. The building is provided with four overhead rolling doors. The exterior walls and overhead rolling doors are in good condition.
The interior finishes in the building include painted floor finishes, painted wall assemblies, and painted ceiling finish. The interior finishes appear to be in poor condition overall.",,,,Masonry Walls,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.2033653,49.27466345
200,CWYD_4325_Stanley Park Service Yard_Concession Warehouse,Stanley Park Service Yard,Phase 1,,,,,,,,,Concession Warehouse,5 - No Investment,City Owned,4325,1950-01,1950,1941,"$650,845","2,941",221,1,0,"Stanley park concession warehouse is understood to have been constructed circa 1950. The building is largely provided with systems and components originating from the initial building construction. Known renewals include:
- The interior painted wall and ceiling are updated circa 2020
- The roof was replaced in 2004 
- Exterior windows and skylights were replaced in 1979","The single-story building appears to be constructed on spread footings. Where exposed, the superstructure appears to be load-bearing wood beams, steel pipe columns, cast-in-place reinforced concrete, and concrete block construction.  No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of painted concrete block on all building elevations. The building windows are typical of metal framed single glass units. The exterior entrance doors are typically wood doors. The roof cover is a 2-ply modified bituminous roof assembly. Overall, the building envelope components appear to be in fair condition.

The interior finishes in the building include vinyl sheet floor, sealed concrete floor, liquid applied membrane, painted wall assemblies, and painted ceiling assemblies. The interior finishes appear to be in fair to good condition overall.",,,,Concrete Structure,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,,,10,Pre-Screen Low,-123.136305,49.30020687
