Asset Planner ID,,,Screener and Approver,,,,,,,,,Asset Planner Data,,,,,,,,,,,,,,,Data Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seismic Data,,,,,,,,,Outputs from FEMA and SQST Sheets,,2013 Seismic Screening Data,,,,,,,
ID,Facility/Asset,Address,Review Phase,Approver,Screener,Drawings,Desktop Review Date,Site Visit,Site Review Date,Ready for Approval?,Approved?,Building Name,Development Category Indicator,Custom: CoV Ownership Status,SAP Building Number,Date Built,Year Built,NBC Code Year (Original Building),Current Replacement Value (June 2026),Gross Size (sq.ft.) - from Asset Planner - June 2026,CRV/sq.ft.,Floors Above Grade,Floors Below Grade,Building: General Summary,Building: Architectural Summary,Building: Heritage,Year(s) of Major Renovation(s),Description of Major Renovation,Building: Main Superstructure Material,Vertical Load Bearing System,Roof System,Floor System,Seismic Force Resisting System in the North-South Direction,Seismic Force Resisting System in the East-West Direction,Number of LDRS Bays in North-South Direction,Number of LDRS Bays in East-West Direction,Seismic Upgrade Year,Description of Seismic Upgrade,Seismic Upgrading Case,Building Height (Total Height Above Ground (m) to Roof Slab),"""Original"" Building Importance Factor Ie",Building Importance Factor Ie - Based on VBBL 2025 - Upgraded,Occupancy Type,Service Group,Replacement Cost (June 2026 $$),At-risk Population: Y/N?,Site Class,Basement,Basement Floor Plan Area (sq.m.),Ground Floor Plan Area (sq.m.),Roof Plan Area (sq.m.),Geological Hazards,Significant Alterations or Deviations,Material Conditions,Sesimic Isolation / Energy Dissipation Systems,Separation / Distance from Adjacent Structures (mm),Pounding Type Input,Pounding Type,Vertical Irregularity Input,Vertical Irregularity Description,Plan Irregularity Input,Plan Irregularity Description,Building Irregularity,Falling Hazards (Y/N),Exterior Non-structural Components - Restrained (Y/N),Interior Non-structural Components - Restrained (Y/N),URM (Y/N),FEMA P154 Special Cases,Remaining Occupancy Time,Category Functionality Class,Gross Area (including basement) (sq.m.),Seismic Weight (kN),Snow Load and Roof Weight (kN),Floor Weight - Above Grade (kN),LDRS Weight North-South Direction (kN),LDRS Weight East-West Direction (kN),Content Weight Based on Occupancy Type (kN),FEMA P154 RVS Level 2 Screening S-Score,SEG Level 2 - SQST S-Score,Building: Collapse Likelihood,Building: Post Disaster Importance,Building: Occupancy,Building: Seismic Screening Data,Building: Seismic S Score,Building: Seismic Risk,Longitude,Latitude
23,ENEX_1825_2901 E Hastings St_PNE - Playland Building (Triple O),2901 E Hastings St,Phase 1,,,,,,,,,PNE - Playland Building (Triple O),9 - CoV Not Responsible,City Owned,1825,1955-01,1955,1953,"$1,438,377","5,000",288,1,0,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,13%,High Occupancy,101-1000,,-0.5,High,-123.0364168,49.28195687
24,RECR_7311_2901 E Hastings St_PNE - Agrodome (Rink/Arena),2901 E Hastings St,Phase 1,,,,,,,,,PNE - Agrodome (Rink/Arena),3 - Limited Investment,City Owned,7311,1960-01,1960,1960,"$23,986,367","66,000",363,2,0,"The Building is largely provided with systems and components originating from the initial building construction. Known renewals include:
- Flat roofs updated circa 2012 and 2015
- Built-up roof updated circa 1980","The exterior walls of the building are mainly painted concrete walls. The windows are typically single glass unit with metal and wood frame. Exterior access doors are wood construction, glazed doors and metal roll-up doors. The roof elevations are covered with TPO and SBS modified bitumen. The interior finishes throughout the building include vinyl sheets flooring, vinyl tiles flooring, sealed/painted concrete flooring, ceramic tiles flooring, carpet flooring, asphalt flooring, wood wall panels, painted wall finishes, acoustical wall panels, ceramic wall tiles, painted ceiling assemblies, adhered acoustical ceiling tiles and suspended acoustical ceiling tiles.",,,,Concrete Structure,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,13%,High Occupancy-A,1000+,,-0.6,High,-123.0411962,49.28454014
25,ENEX_7316_2901 E Hastings St_PNE - Forum,2901 E Hastings St,Phase 1,,,,,,,,,PNE - Forum,2 - Moderate Investment,City Owned,7316,1930-01,1930,Pre-code,"$12,697,191","65,000",195,1,0,"The building is largely provided with systems and components originating from the initial building construction. Known renewals include:
- Washrooms were updated circa 2008
- Roofs were updated circa 2009
- Partial interior finishes were updated circa 2008","The exterior walls of the building are mainly painted concrete. The windows are typically single glass units with wood frames. Exterior access doors are a combination of wood, metal and glass construction. The slope roof is covered asphalt and the flat roof is covered with a modified bitumen membrane. The interior finishes throughout the building include vinyl tiles flooring, ceramic tiles flooring, laminated wood flooring, painted concrete flooring, rubber flooring, ceramic glass tiles wall, painted drywall and painted concrete finishes,  painted ceiling assemblies, suspended acoustical ceiling tiles.",B,,,Concrete Structure,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,13%,High Occupancy-A,1000+,,0.2,High,-123.0430045,49.28236328
28,CWYD_3421_453 W 12th Av_City Hall Main Building,453 W 12th Av,Phase 1,,,,,,,,,City Hall Main Building,1 - Full Investment,City Owned,3421,1936-01,1936,Pre-code,"$51,785,252","151,794",341,12,1,"City Hall is understood to have been constructed circa 1936 with additions which were constructed circa 1969 and 2015 and is a registered heritage building. The building is largely provided with systems and components originating from the initial building construction. Known renewals include:
- The majority of interior finishes updated circa 2013
- Exterior windows were replaced 2009
- Roofs were replaced 2009","The building appears to be constructed on standard deep foundations bearing on good native soil. Where exposed, the superstructure appears to be of cast in place reinforced concrete columns, beams, and suspended floor and roof slabs. No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of cast-in-place concrete, pre-cast concrete, marble and stucco on all building elevations. The building windows are typically wood framed insulated glass units (IGUs). The addition windows which are located at the north elevation of the sub ground level are typically IGUs set in aluminum frames. The exterior entrance doors are typically glass doors set in aluminum frames. The service doors are hollow metal doors in metal frames. The roof cover is a conventional-modified bituminous roof assembly. Overall, the building envelope components appear to be in fair condition. Evidence of water ingress was observed in the stucco wall, and therefore a building envelope study is recommended for all exterior walls. Evidence of water ingress was observed in the sub ground electrical room, the roof was observed to be in poor condition for sub ground area and evidence of water ingress was also observed for the 12th floor roof. All sky lights are in poor condition.

The interior finishes in the building include ceramic floor tiles, vinyl sheet floor, painted concrete floor, carpet floor, vinyl floor tiles, terrazzo, painted wall assemblies, ceramic wall tiles, wood wall panels, wall paper, panels veneer wall, painted ceiling assemblies, painted plaster, marble, mirror, adhered suspended ceiling tiles and suspended acoustic panels ceiling assemblies. The interior finishes appear to be in good condition overall, with the exception of the painted concrete floor, wall paper and carpet in revenue services and the HR office which are in poor condition.",A (M),2013,,Concrete Structure,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,Responder,101-1000,,,High,-123.1139581,49.2609174
30,CWYD_6108_515 W 10th Av_West Annex (Van-City) Offices,515 W 10th Av,Phase 1,,,,,,,,,West Annex (Van-City) Offices,2 - Moderate Investment,City Owned,6108,1976-01,1976,1975,"$26,199,324","76,796",341,4,2,"Wex Annex Offices is understood to have been constructed circa 1976. The building is largely provided with systems and components originating from the initial building construction. Known renewals include:
- The majority of interior finishes updated circa 2015 and 2020","The four-story building with 2 levels of underground parking appears to be constructed on spread footings. Where exposed, the superstructure appears to be of concrete and metal construction.  No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of concrete and stucco walls on the building elevations. The building windows are typical of metal-framed insulated glass units (IGUs). The exterior entrance doors are typically glass doors set in aluminum frames. The service doors are hollow metal doors in metal frames. The roof cover is a 2-ply modified bituminous roof assembly. Overall, the building envelope components appear to be in good condition.

The interior finishes in the building include ceramic floor tiles, vinyl floor tiles, carpet floor tiles, traffic topping, painted wall assemblies, ceramic wall tiles, painted ceiling assemblies and suspended acoustic tile ceiling assemblies. The interior finishes appear to be in good condition overall.",,2015-2020,,Reinforced concrete,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,Business Continuity,101-1000,,,Low,-123.1155167,49.26256004
31,CWYD_7817_1800 Spyglass Place_311 Building (Polygon Building),1800 Spyglass Place,Phase 1,,,,,,,,,311 Building (Polygon Building),5 - No Investment,City Owned,7817,1989-01,1989,1985,"$4,925,934","14,439",341,2,0,"The building is a two-storey steel structure with concrete masonry (CMU) exterior walls and metal studs interior walls, approximately 14,439 sf, which was constructed circa 1989. The building is largely provided with systems and components originating from the initial building construction. The building has been recently renovated with new painting, new glazed walls, new glass sliding, swing doors, and new vinyl sheet flooring.","The two-storey building appears to be constructed on spread footings. Where exposed, the superstructure appears to be of concrete masonry (CMU) walls and steel-framed construction. No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of stucco finish on all elevations. The building exterior windows are typical of metal-framed insulated glass units (IGUs) and the ground floor entry area full-height storefront windows are metal-framed with insulated glass units (IGUs). The exterior main entrance door is typically a glass double-door set in a metal frame. The emergency exit doors and the electrical room door are hollow-core metal single-doors set in metal frames. The flat roof cover is a built-up roofing system. Overall, the building envelope components appear to be in good condition.

The building interior finishes in the building include ceramic floor tiles, vinyl floor tiles, granite floor tiles, carpet floor tiles, carpet sheet flooring, vinyl sheet flooring, painted wall finish, ceramic wall tiles, glass block walls, suspended acoustic ceiling tiles, and painted ceiling finish. The interior finishes appear to be in good condition overall, with the exception of the vinyl floor tiles finish which is in fair condition.",,2010,,Metal Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,Emergency Response - B,Unknown,,,,-123.1148616,49.27075491
33,CWYD_8593_507 W Broadway_Crossroads,507 W Broadway,Phase 1,,,,,,,,,Crossroads,9 - CoV Not Responsible,City Leased,8593,2008-01,2008,2005,"$5,290,337","68,384",77,6,0,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,Business Continuity,Unknown,,10,Pre-Screen Low,-123.1154473,49.26352762
34,CWYD_4325_2099 Beach Av_Park Board Office,2099 Beach Av,Phase 1,,,,,,,,,Park Board Office,1 - Full Investment,City Owned,4325,1961-01,1961,1960,"$7,339,946","21,515",341,2,0,"Park Board Office is understood to have been constructed circa 1961. An addition was constructed circa 1980 along the northeast portion of the building, and another addition breezeway was constructed circa 2004. Multiple other small-scale renovation projects were also undertaken details of which could not be confirmed at the time of the assessment.","The multi-storey building appears to be constructed on concrete spread-footings which bear on native soil or engineered fill. Where exposed, the superstructure appears to be of reinforced concrete in the basement and wood-frame construction above ground.  No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure; however evidence of moisture ingress was observed along the basement floor, which should be investigated further. 

The building exterior walls are generally comprised of a combination of stone masonry and painted wood siding. The original building windows are typically of wood framed with single pane glass. Additional windows are typically IGUs set in aluminum frames. The exterior entrance doors are typically painted wood doors. The roof cover is a conventional-modified bituminous roof assembly. Overall, the building envelope components appear to be in good to fair condition, with the exception of the SBS roof assemblies and associated skylights which are considered to be in poor condition. 

The interior finishes in the building include terrazzo, quarry tiles, carpet tiles, roll carpet, resilient sheeting, vinyl tiles, vinyl sheets and painted/sealed concrete flooring, painted walls, wood panel walls, painted ceiling and adhered ceiling tiles. Unfinished portions of the building were also observed, typically in the basement. The interior finishes appear to be in good to fair condition overall, with the exception of the painted concrete floors and resilient sheeting, which were considered to be in poor condition.",A,"1980, 2004",,"Concrete foundation, cedar timber beams frame, wood & masonry stone veneer walls w/tar & gravel roof",,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,3%,Business Continuity,101-1000,,-0.1,High,-123.1454269,49.29083323
35,CWYD_2136_1280 Raymur St_Animal Control Shelter,1280 Raymur St,Phase 1,,,,,,,,,Animal Control Shelter,4 - Minimal Investment,City Owned,2136,1977-01,1977,1977,"$2,425,677","10,961",221,1,0,"Animal control shelter is understood to have been constructed circa 1977. The building is largely provided with systems and components originating from the initial building construction. Known renewals include:
- Some of the exterior windows were updated circa 2006","The two-story building appears to be constructed on spread footings. Where exposed, the superstructure appears to be of wood-framed construction.  No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of painted wood siding on building elevations. The building windows are typical of wood-framed single glass units and metal-framed insulated glass units (IGUs). The exterior entrance doors are typically glass doors set in wood frames. The service doors are hollow metal doors in metal frames. The roof cover is a 2-ply modified bituminous roof assembly and an asphalt shingles roof assembly. Overall, the building envelope components appear to be in poor condition.

The interior finishes in the building include ceramic floor tiles, vinyl floor sheets, painted concrete floor, carpet flooring, painted wall assemblies, ceramic wall tiles, and painted ceiling assemblies. The interior finishes appear to be in fair to good condition overall, with the exception of the vinyl floor tiles which are in poor condition.",,,,Wood Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,15%,,11-100,,0.5,High,-123.0822732,49.2735705
38,COMM_1377_1836 W 5th Av_McKay Building,1836 W 5th Av,Phase 1,,,,,,,,,McKay Building,3 - Limited Investment,City Owned,1377,1965-01,1965,1965,"$6,578,161","25,000",263,2,0,"The building is understood to have been constructed circa 1965. The building is largely provided with updated systems and components. Known renewals include: 
- The majority of interior finishes updated circa 2017","The two-storey building appears to be constructed on spread footings. Where exposed the superstructure appears to be of wood framed and load-bearing concrete masonry wall construction.  No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of wood siding and concrete unit blocks on building elevations. The building windows are typically of metal framed single glass units. The exterior entrance doors are typically glass doors set in aluminum frames. The service doors are combination of the metal and wood doors. The roof cover is a conventional modified bituminous roof assembly. Overall, the building envelope components appear to be in fair condition.

The interior finishes in the building include ceramic floor tiles, resilient sheet floor, exposed concrete floor, carpet floor, rubber, laminated wood, painted wall assemblies, wood wall panels, painted ceiling assemblies and suspended acoustic tile ceiling assemblies. The interior finishes appear to be in good condition overall, with the exception of vinyl and carpet flooring, acoustical ceiling tiles in some areas and vinyl tiles flooring which were in poor condition.",,,,Concrete Structure,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,High Occupancy,101-1000,,-0.5,High,-123.1459563,49.26676806
