Site Designation / Désignation d'emplacement,2%/50 Sa(0.2),2%/50 Sa(0.5),2%/50 Sa(1.0),2%/50 Sa(2.0),2%/50 Sa(5.0),2%/50 Sa(10.0),2%/50  PGA,2%/50  PGV,,5%/50 Sa(0.2),5%/50 Sa(0.5),5%/50 Sa(1.0),5%/50 Sa(2.0),5%/50 Sa(5.0),5%/50 Sa(10.0),5%/50  PGA,5%/50  PGV,,10%/50 Sa(0.2),10%/50 Sa(0.5),10%/50 Sa(1.0),10%/50 Sa(2.0),10%/50 Sa(5.0),10%/50 Sa(10.0),10%/50  PGA,10%/50  PGV
XE,1.14,1.26,0.967,0.614,0.19,0.0675,0.532,0.872,,0.838,0.898,0.658,0.374,0.0939,0.0311,0.388,0.557,,0.646,0.669,0.467,0.242,0.0567,0.0183,0.294,0.381
XD,1.15,1.2,0.85,0.516,0.154,0.0575,0.527,0.779,,0.837,0.848,0.575,0.317,0.0786,0.027,0.381,0.508,,0.638,0.624,0.404,0.204,0.0477,0.016,0.286,0.349
XC,1.12,0.899,0.521,0.316,0.0892,0.0375,0.487,0.541,,0.79,0.62,0.348,0.194,0.0486,0.0185,0.343,0.356,,0.578,0.445,0.242,0.124,0.0297,0.011,0.251,0.246
XB,0.859,0.524,0.299,0.188,0.0512,0.024,0.381,0.328,,0.589,0.359,0.199,0.116,0.0296,0.0124,0.264,0.217,,0.424,0.256,0.138,0.074,0.0182,0.00745,0.191,0.149
XA,0.699,0.409,0.232,0.151,0.0459,0.0228,0.329,0.264,,0.476,0.278,0.154,0.0937,0.0259,0.0113,0.225,0.173,,0.34,0.197,0.106,0.0597,0.0159,0.00678,0.162,0.119
