Site Designation / Désignation d'emplacement,2%/50 Sa(0.2),2%/50 Sa(0.5),2%/50 Sa(1.0),2%/50 Sa(2.0),2%/50 Sa(5.0),2%/50 Sa(10.0),2%/50  PGA,2%/50  PGV,,5%/50 Sa(0.2),5%/50 Sa(0.5),5%/50 Sa(1.0),5%/50 Sa(2.0),5%/50 Sa(5.0),5%/50 Sa(10.0),5%/50  PGA,5%/50  PGV,,10%/50 Sa(0.2),10%/50 Sa(0.5),10%/50 Sa(1.0),10%/50 Sa(2.0),10%/50 Sa(5.0),10%/50 Sa(10.0),10%/50  PGA,10%/50  PGV
XE,1.14,1.26,0.967,0.614,0.188,0.0648,0.532,0.871,,0.838,0.898,0.658,0.374,0.0926,0.0301,0.388,0.556,,0.646,0.669,0.467,0.242,0.0561,0.018,0.294,0.381
XD,1.15,1.2,0.849,0.515,0.153,0.0553,0.527,0.779,,0.837,0.848,0.575,0.316,0.0777,0.0262,0.381,0.507,,0.638,0.623,0.404,0.204,0.0472,0.0157,0.286,0.348
XC,1.12,0.899,0.521,0.316,0.0887,0.0362,0.487,0.541,,0.79,0.62,0.348,0.194,0.0481,0.018,0.343,0.355,,0.578,0.445,0.242,0.124,0.0294,0.0108,0.251,0.246
XB,0.859,0.524,0.299,0.188,0.051,0.0233,0.381,0.328,,0.589,0.359,0.199,0.116,0.0294,0.0121,0.264,0.217,,0.424,0.256,0.138,0.0739,0.0181,0.0073,0.191,0.149
XA,0.699,0.409,0.232,0.151,0.0457,0.022,0.329,0.264,,0.476,0.278,0.154,0.0936,0.0257,0.011,0.225,0.173,,0.34,0.196,0.106,0.0596,0.0157,0.00665,0.162,0.119
