Site Designation / Désignation d'emplacement,2%/50 Sa(0.2),2%/50 Sa(0.5),2%/50 Sa(1.0),2%/50 Sa(2.0),2%/50 Sa(5.0),2%/50 Sa(10.0),2%/50  PGA,2%/50  PGV,,5%/50 Sa(0.2),5%/50 Sa(0.5),5%/50 Sa(1.0),5%/50 Sa(2.0),5%/50 Sa(5.0),5%/50 Sa(10.0),5%/50  PGA,5%/50  PGV,,10%/50 Sa(0.2),10%/50 Sa(0.5),10%/50 Sa(1.0),10%/50 Sa(2.0),10%/50 Sa(5.0),10%/50 Sa(10.0),10%/50  PGA,10%/50  PGV
XE,1.13,1.24,0.954,0.606,0.187,0.0643,0.525,0.859,,0.827,0.885,0.649,0.369,0.0918,0.0299,0.383,0.549,,0.637,0.661,0.46,0.239,0.0556,0.0178,0.29,0.375
XD,1.13,1.18,0.837,0.508,0.152,0.0549,0.52,0.768,,0.826,0.836,0.566,0.312,0.0769,0.026,0.375,0.5,,0.628,0.614,0.398,0.201,0.0468,0.0156,0.282,0.343
XC,1.1,0.884,0.512,0.311,0.0876,0.0359,0.479,0.533,,0.776,0.609,0.343,0.191,0.0476,0.0178,0.337,0.35,,0.569,0.437,0.238,0.122,0.0291,0.0107,0.247,0.242
XB,0.845,0.515,0.293,0.185,0.0503,0.023,0.375,0.323,,0.578,0.352,0.196,0.114,0.029,0.0119,0.26,0.214,,0.416,0.251,0.135,0.0727,0.0178,0.00723,0.187,0.147
XA,0.687,0.401,0.228,0.149,0.0452,0.0219,0.323,0.26,,0.467,0.273,0.151,0.0921,0.0254,0.0109,0.222,0.171,,0.334,0.193,0.104,0.0586,0.0155,0.00659,0.159,0.117
